Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-April-2005,20.30,20.35,20.00,20.00,20.294782608695652173,2300,18,46678.00,2300,100.00,0.35,-0.30
26-April-2005,21.00,21.20,20.80,21.00,21.015714285714285714,2100,14,44133.00,2090,99.52,0.40,0.00
25-April-2005,21.00,21.25,20.80,21.25,21.064227642276422764,2460,17,51818.00,2460,100.00,0.45,0.25
22-April-2005,22.00,22.00,19.85,20.40,20.320923913043478260,3680,29,74781.00,2200,59.78,2.15,-1.60
21-April-2005,20.25,20.75,19.50,20.45,20.173437500000000000,3200,23,64555.00,2750,85.94,1.25,0.20
20-April-2005,20.40,20.75,20.10,20.30,20.329960513326752221,4052,23,82377.00,3995,98.59,0.65,-0.10
19-April-2005,20.25,20.65,20.20,20.40,20.405791855203619909,5525,19,112742.00,5525,100.00,0.45,0.15
18-April-2005,21.75,21.75,19.55,20.55,20.191827617921429509,7611,41,153680.00,5659,74.35,2.20,-1.20
15-April-2005,20.95,21.35,20.00,20.70,20.474883720930232558,2150,19,44021.00,1750,81.40,1.35,-0.25
13-April-2005,19.00,21.90,19.00,21.15,21.328477956067923352,12838,61,273815.00,7615,59.32,2.90,2.15
12-April-2005,21.30,21.95,20.20,20.60,20.782694505037914199,9627,66,200075.00,7873,81.78,1.75,-0.70
11-April-2005,21.85,22.00,21.00,21.50,21.224265482984569858,4731,37,100412.00,4721,99.79,1.00,-0.35
8-April-2005,22.30,23.70,21.85,21.95,22.290592662276575729,10630,55,236949.00,7750,72.91,1.85,-0.35
7-April-2005,22.50,23.00,22.50,22.85,22.686199575371549893,2355,15,53426.00,2355,100.00,0.50,0.35
6-April-2005,23.70,23.90,23.50,23.50,23.739285714285714285,280,5,6647.00,280,100.00,0.40,-0.20
5-April-2005,23.50,23.50,22.70,22.85,22.989473684210526315,2090,15,48048.00,2090,100.00,0.80,-0.65
4-April-2005,24.30,24.70,23.00,23.60,23.554782608695652173,5175,29,121896.00,5175,100.00,1.70,-0.70
1-April-2005,22.50,23.25,22.50,23.00,22.923809523809523809,1050,12,24070.00,1050,100.00,0.75,0.50
31-March-2005,22.05,23.15,22.00,22.00,22.231707317073170731,1804,15,40106.00,1804,100.00,1.15,-0.05
30-March-2005,21.75,22.50,21.50,21.95,22.020390824129141886,2354,17,51836.00,2354,100.00,1.00,0.20
29-March-2005,21.45,22.00,21.45,21.75,21.784432717678100263,3790,18,82563.00,3790,100.00,0.55,0.30
28-March-2005,22.10,23.30,21.80,22.15,22.207036775106082036,5656,20,125603.00,5656,100.00,1.50,0.05
24-March-2005,23.00,23.45,22.00,22.10,22.411222039681536711,7913,53,177340.00,7913,100.00,1.45,-0.90
23-March-2005,23.15,23.90,22.85,23.00,23.114413995974609072,6459,31,149296.00,6459,100.00,1.05,-0.15
22-March-2005,24.05,24.50,23.55,23.70,23.988088485536018150,8815,32,211455.00,8815,100.00,0.95,-0.35
21-March-2005,23.05,25.05,23.05,24.20,24.549016366341544056,6049,24,148497.00,6049,100.00,2.00,1.15
18-March-2005,24.30,25.00,24.15,24.50,24.427402627333486978,8678,56,211981.00,8678,100.00,0.85,0.20
17-March-2005,26.00,26.00,25.00,25.05,25.381436745073108709,3146,22,79850.00,3146,100.00,1.00,-0.95
16-March-2005,28.90,28.90,25.00,25.10,25.462972972972972972,7400,48,188426.00,7400,100.00,3.90,-3.80
15-March-2005,26.00,26.25,24.50,24.80,25.347343565525383707,8470,39,214692.00,8470,100.00,1.75,-1.20
14-March-2005,26.70,27.40,25.55,25.75,26.385729213315420211,6699,52,176758.00,6699,100.00,1.85,-0.95
11-March-2005,25.00,28.85,25.00,26.40,26.518834170854271356,24875,185,659656.00,24875,100.00,3.85,1.40
10-March-2005,26.90,27.00,25.70,25.80,26.144949753023335036,11742,143,306994.00,9450,80.48,1.30,-1.10
9-March-2005,29.30,29.30,25.85,26.50,27.128354659721435850,17662,166,479141.00,13723,77.70,3.45,-2.80
8-March-2005,29.55,29.55,27.55,28.25,28.342198112375407956,22674,238,642631.00,9807,43.25,2.00,-1.30
7-March-2005,30.85,30.85,28.70,29.05,29.634789222077357670,138060,1303,4091379.00,69190,50.12,2.15,-1.80
4-March-2005,25.20,29.25,24.10,29.05,28.667600170207712784,101053,446,2896947.00,46027,45.55,5.15,3.85
3-March-2005,25.25,25.25,24.00,24.40,24.673793103448275862,1450,17,35777.00,1070,73.79,1.25,-0.85
2-March-2005,24.25,24.25,24.10,24.10,24.197500000000000000,1200,9,29037.00,900,75.00,0.15,-0.15
1-March-2005,24.95,24.95,24.00,24.20,24.366000000000000000,2000,30,48732.00,1219,60.95,0.95,-0.75
28-February-2005,25.95,26.00,23.80,24.05,24.496284062758051197,7266,52,177990.00,6675,91.87,2.20,-1.90
25-February-2005,25.85,25.85,24.60,24.80,25.015045135406218655,2991,40,74820.00,2491,83.28,1.25,-1.05
24-February-2005,25.50,25.90,25.00,25.10,25.580227540211847783,2549,40,65204.00,2302,90.31,0.90,-0.40
23-February-2005,25.00,25.95,25.00,25.40,25.554480286738351254,2790,43,71297.00,1773,63.55,0.95,0.40
22-February-2005,25.60,25.60,25.00,25.00,25.193137254901960784,1020,14,25697.00,750,73.53,0.60,-0.60
21-February-2005,26.95,26.95,25.00,25.60,25.112951807228915662,3320,39,83375.00,3002,90.42,1.95,-1.35
18-February-2005,25.30,26.45,25.25,25.50,25.507857142857142857,1400,19,35711.00,1280,91.43,1.20,0.20
17-February-2005,25.95,25.95,25.15,25.45,25.647552447552447552,2860,29,73352.00,2313,80.87,0.80,-0.50
16-February-2005,26.45,26.45,25.25,25.60,25.532399056472873595,7207,66,184012.00,5997,83.21,1.20,-0.85
15-February-2005,24.30,26.10,24.30,25.70,25.477419354838709677,1550,26,39490.00,1098,70.84,1.80,1.40
14-February-2005,28.25,28.25,26.10,26.10,26.339977851605758582,3612,27,95140.00,3362,93.08,2.15,-2.15
11-February-2005,27.20,27.85,26.55,27.00,27.109790874524714828,2104,23,57039.00,2000,95.06,1.30,-0.20
10-February-2005,29.00,29.00,27.00,27.00,27.924309045226130653,3184,37,88911.00,2055,64.54,2.00,-2.00
9-February-2005,27.00,27.40,26.10,27.05,27.077290959580376427,6482,46,175515.00,6050,93.34,1.30,0.05
8-February-2005,27.40,28.85,26.75,27.20,27.183329071848632063,3911,39,106314.00,3025,77.35,2.10,-0.20
