Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2011,67.00,70.00,65.00,67.90,67.959101983988861816,5746,70,390493.00,5746,100.00,5.00,0.90
29-December-2011,71.00,71.70,67.10,67.40,68.517492416582406471,4945,63,338819.00,4945,100.00,4.60,-3.60
28-December-2011,68.10,71.00,67.00,69.65,68.141938939475093733,3734,62,254442.00,3734,100.00,4.00,1.55
27-December-2011,72.50,73.50,69.50,69.70,70.257060101375814627,2762,39,194050.00,2762,100.00,4.00,-2.80
26-December-2011,74.20,76.00,70.15,72.15,72.368248003757632691,2129,47,154072.00,2129,100.00,5.85,-2.05
23-December-2011,74.90,74.90,70.00,73.40,73.357635878342768739,117642,191,8629939.00,117642,100.00,4.90,-1.50
22-December-2011,73.50,73.50,69.25,71.60,71.457720588235294117,59840,119,4276030.00,59840,100.00,4.25,-1.90
21-December-2011,72.00,72.00,67.75,70.00,69.043936202226903400,3323,49,229433.00,3323,100.00,4.25,-2.00
20-December-2011,70.10,74.00,70.00,71.30,72.830562851782363977,53300,89,3881869.00,53300,100.00,4.00,1.20
19-December-2011,70.00,73.70,67.90,72.95,71.615912979830050849,206297,180,14774148.00,206297,100.00,5.80,2.95
16-December-2011,77.10,77.10,70.00,71.45,73.419583736159500921,109642,112,8049870.00,109642,100.00,7.10,-5.65
15-December-2011,73.50,77.80,73.50,73.50,73.564281190626979100,3158,44,232316.00,3158,100.00,4.30,0.00
14-December-2011,81.50,83.85,77.35,77.35,79.860793140407288317,69975,124,5588259.00,69975,100.00,6.50,-4.15
13-December-2011,81.30,83.70,81.30,81.40,81.454597966728280961,8656,83,705071.00,8656,100.00,2.40,0.10
12-December-2011,87.00,89.90,82.85,85.55,84.151842992280091334,55182,150,4643667.00,55182,100.00,7.05,-1.45
9-December-2011,90.00,90.00,83.50,87.20,85.390047973438752971,71081,257,6069610.00,71081,100.00,6.50,-2.80
