Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,100.00,103.65,99.00,99.90,100.942248218367621352,14874,184,1501415.00,9692,65.16,4.65,-0.10
29-December-2016,106.50,106.50,100.50,101.25,101.245795601552393272,3865,92,391315.00,3721,96.27,6.00,-5.25
28-December-2016,100.60,105.00,100.60,102.75,103.313123410913358106,10226,92,1056480.00,7645,74.76,4.40,2.15
27-December-2016,100.05,103.80,100.00,101.40,101.868108437404812671,6566,131,668866.00,5773,87.92,3.80,1.35
26-December-2016,106.65,106.65,99.00,101.50,101.750506610055003377,20726,95,2108881.00,8973,43.29,7.65,-5.15
23-December-2016,101.10,105.15,101.10,102.60,102.455357142857142857,1232,40,126225.00,1000,81.17,4.05,1.50
22-December-2016,106.00,106.00,102.00,104.60,103.874277456647398843,2768,63,287524.00,1297,46.86,4.00,-1.40
21-December-2016,103.00,109.00,101.95,106.65,104.457942413458427693,12364,293,1291518.00,8920,72.14,7.05,3.65
20-December-2016,109.00,112.25,102.35,105.30,106.693497422251787793,6013,145,641548.00,4992,83.02,9.90,-3.70
19-December-2016,107.10,113.50,107.10,107.30,107.330967029499921123,25356,286,2721484.00,11278,44.48,6.40,0.20
16-December-2016,116.10,116.10,112.70,112.70,113.883652657601977750,6472,74,737055.00,3663,56.60,3.40,-3.40
15-December-2016,120.00,121.50,115.10,118.60,119.358910968549522766,31955,82,3814114.00,6430,20.12,6.40,-1.40
14-December-2016,121.30,121.30,115.50,120.10,117.728583101814021899,30595,168,3601906.00,2176,7.11,5.80,-1.20
13-December-2016,118.30,122.00,118.30,120.05,120.670741324921135646,12680,139,1530105.00,9570,75.47,3.70,1.75
12-December-2016,122.90,123.75,119.50,121.05,121.276534859521331945,3844,83,466187.00,2595,67.51,4.25,-1.85
9-December-2016,129.80,129.80,121.85,123.80,125.454680377398494646,9433,232,1183414.00,3463,36.71,7.95,-6.00
8-December-2016,134.90,134.90,126.45,128.20,129.678061081535444101,10707,168,1388463.00,9048,84.51,8.45,-6.70
7-December-2016,131.00,132.15,127.00,130.70,131.033694063830237827,47219,395,6187280.00,8851,18.74,5.15,-0.30
6-December-2016,123.10,126.25,121.00,125.90,124.247894103489771359,11634,183,1445500.00,10080,86.64,5.25,2.80
5-December-2016,121.00,121.85,117.80,120.25,120.200343473994111874,20380,296,2449683.00,14457,70.94,4.05,-0.75
2-December-2016,124.70,124.70,115.85,116.05,118.114774114774114774,11466,296,1354304.00,6081,53.04,8.85,-8.65
1-December-2016,118.40,121.90,118.00,121.90,120.202848411462838032,17343,322,2084678.00,12427,71.65,3.90,3.50
30-November-2016,116.10,116.10,107.00,116.10,114.704754268150078513,59862,628,6866456.00,30748,51.36,9.10,0.00
29-November-2016,110.60,110.60,110.60,110.60,110.600000000000000000,4560,30,504336.00,4560,100.00,0.00,0.00
28-November-2016,105.35,105.35,105.35,105.35,105.349859405061417788,6757,36,711849.00,6755,99.97,0.00,0.00
25-November-2016,95.00,100.35,94.45,100.35,98.504862404303745085,14499,199,1428222.00,11130,76.76,5.90,5.35
24-November-2016,82.65,91.40,82.65,91.25,89.503774254014894371,19739,239,1766715.00,16390,83.03,8.75,8.60
23-November-2016,83.10,84.55,81.40,83.10,83.020272760781422779,5426,133,450468.00,3420,63.03,3.15,0.00
22-November-2016,75.85,84.50,75.85,80.30,80.411178059422397672,19252,431,1548076.00,8490,44.10,8.65,4.45
21-November-2016,90.35,90.35,77.10,78.80,81.370310549886205124,13621,386,1108345.00,7274,53.40,13.25,-11.55
18-November-2016,88.00,89.30,85.25,87.00,87.211636286562102585,9436,213,822929.00,6823,72.31,4.05,-1.00
17-November-2016,96.70,97.65,87.50,88.75,91.126104137610413761,8604,265,784049.00,4806,55.86,10.15,-7.95
16-November-2016,96.00,101.50,95.75,96.45,97.808838643371017471,3892,144,380672.00,2054,52.77,5.75,0.45
15-November-2016,105.55,108.60,94.50,96.50,98.863508798543689320,26368,296,2606833.00,19852,75.29,14.10,-9.05
11-November-2016,116.00,116.00,108.40,110.75,111.342300396620106914,5799,156,645674.00,3408,58.77,7.60,-5.25
10-November-2016,116.00,122.50,114.00,116.00,117.513345456678594474,17047,220,2003250.00,8083,47.42,8.50,0.00
