Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2009,177.50,178.00,168.00,171.40,174.690092663721912809,166624,2015,29107562.00,89251,53.56,10.00,-6.10
30-December-2009,162.55,169.60,162.55,169.60,168.451007076755579749,139612,1601,23517782.00,85867,61.50,7.05,7.05
29-December-2009,156.50,161.55,155.00,161.55,160.564068403999517235,215426,1755,34589675.00,114243,53.03,6.55,5.05
24-December-2009,149.80,155.60,147.55,153.90,153.973740655890325937,109561,956,16869517.00,58817,53.68,8.05,4.10
23-December-2009,152.55,154.85,147.00,148.20,151.556662838513688734,26993,496,4090969.00,17850,66.13,7.85,-4.35
22-December-2009,154.25,156.50,150.50,151.55,153.426267562614538790,16370,343,2511588.00,9631,58.83,6.00,-2.70
21-December-2009,154.90,157.95,151.80,152.60,154.785876301548463145,55991,837,8666616.00,33909,60.56,6.15,-2.30
18-December-2009,160.65,160.65,153.00,153.95,158.264487572072090636,242639,2385,38401137.00,83482,34.41,7.65,-6.70
17-December-2009,152.40,153.00,151.00,153.00,152.913467907441390768,92093,512,14082260.00,82194,89.25,2.00,0.60
16-December-2009,141.50,145.75,141.50,145.75,144.765314801369152577,48205,680,6978412.00,27148,56.32,4.25,4.25
15-December-2009,146.00,146.70,138.10,138.85,142.226871744172782235,52598,935,7480849.00,36010,68.46,8.60,-7.15
14-December-2009,148.50,150.90,143.55,145.35,146.528476324760391939,56029,1060,8209844.00,24550,43.82,7.35,-3.15
11-December-2009,166.00,166.00,150.75,150.75,155.218171233125932394,54966,937,8531722.00,36558,66.51,15.25,-15.25
10-December-2009,158.85,158.85,153.55,158.65,158.158151860813457771,260370,1482,41179638.00,102252,39.27,5.30,-0.20
9-December-2009,144.05,151.30,142.75,151.30,150.322449569574714120,62264,592,9359677.00,25827,41.48,8.55,7.25
8-December-2009,145.00,146.80,143.20,144.10,144.696111665004985044,10030,240,1451302.00,6870,68.49,3.60,-0.90
7-December-2009,147.00,147.00,142.25,143.25,143.986315295589615264,12788,243,1841297.00,8297,64.88,4.75,-3.75
4-December-2009,143.00,146.95,142.00,144.80,144.514793904147387188,23557,448,3404335.00,15413,65.43,4.95,1.80
3-December-2009,146.95,147.90,142.00,143.15,145.858177172061328790,21132,346,3082275.00,15550,73.59,5.90,-3.80
2-December-2009,154.50,154.50,143.50,144.30,148.780856469548567641,54316,677,8081181.00,37299,68.67,11.00,-10.20
1-December-2009,141.25,147.15,138.10,147.15,145.278793037871515766,55213,478,8021278.00,45615,82.62,9.05,5.90
30-November-2009,143.95,146.45,138.00,140.15,141.775180840070512430,32902,478,4664687.00,20569,62.52,8.45,-3.80
27-November-2009,151.00,151.00,141.65,143.00,142.486839890005050788,35638,484,5077946.00,24321,68.24,9.35,-8.00
26-November-2009,152.80,154.00,146.50,149.10,150.616770993982279476,33069,424,4980746.00,25157,76.07,7.50,-3.70
25-November-2009,153.50,159.70,151.80,152.75,158.205493461903718313,109512,769,17325400.00,49125,44.86,7.90,-0.75
24-November-2009,151.00,154.80,151.00,152.10,152.346926572590289404,16724,241,2547850.00,10720,64.10,3.80,1.10
23-November-2009,152.40,156.00,149.00,151.65,152.543241649241327542,18651,303,2845084.00,13670,73.29,7.00,-0.75
20-November-2009,156.10,159.40,148.00,154.35,153.990319830597035448,36363,689,5599550.00,15986,43.96,11.40,-1.75
19-November-2009,166.40,166.40,154.55,154.55,156.902234879777381625,45998,557,7217189.00,45998,100.00,11.85,-11.85
18-November-2009,155.10,162.65,155.10,162.65,161.064793457747955546,104918,428,16898596.00,104918,100.00,7.55,7.55
17-November-2009,152.00,159.25,152.00,154.95,155.637809983896940418,15525,218,2416277.00,15525,100.00,7.25,2.95
16-November-2009,157.75,157.75,153.00,154.70,155.173059180176617899,15174,280,2354596.00,15174,100.00,4.75,-3.05
13-November-2009,161.00,164.45,152.35,152.65,154.725678927466483327,34908,521,5401164.00,34908,100.00,12.10,-8.35
12-November-2009,167.00,172.00,160.35,160.35,163.228027701142953662,17761,325,2899093.00,17761,100.00,11.65,-6.65
11-November-2009,178.00,178.00,165.95,168.75,167.653881995193486683,40778,596,6836590.00,40778,100.00,12.05,-9.25
