Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2010,149.00,163.50,148.35,155.75,157.925309548123563952,125344,2323,19794990.00,35576,28.38,15.15,6.75
30-December-2010,148.10,149.30,146.00,148.20,148.326258465405292187,14323,300,2124477.00,10212,71.30,3.30,0.10
29-December-2010,147.95,148.00,146.10,147.15,147.040161802947125108,13844,273,2035624.00,9732,70.30,1.90,-0.80
28-December-2010,146.70,149.00,145.10,146.25,147.084537323701410388,11628,286,1710299.00,4880,41.97,3.90,-0.45
27-December-2010,149.90,149.90,144.00,144.75,146.317777338342891042,15171,292,2219787.00,10199,67.23,5.90,-5.15
24-December-2010,145.10,150.95,144.00,147.65,147.831120729118981231,24029,460,3552234.00,8788,36.57,6.95,2.55
23-December-2010,149.00,149.00,145.00,145.80,146.493744621698550340,15107,256,2213081.00,9176,60.74,4.00,-3.20
22-December-2010,150.95,151.40,146.50,147.10,148.831771809285863002,14409,367,2144517.00,6958,48.29,4.90,-3.85
21-December-2010,145.00,151.00,145.00,149.00,148.724638266914558241,24742,547,3679745.00,12018,48.57,6.00,4.00
20-December-2010,148.00,149.65,143.00,145.10,145.542773052168569488,30919,613,4500037.00,15123,48.91,6.65,-2.90
16-December-2010,154.00,154.95,146.00,147.35,149.653399326321578332,29094,487,4354016.00,16944,58.24,8.95,-6.65
15-December-2010,155.00,156.00,151.20,152.05,153.168600832056054302,22835,382,3497605.00,14786,64.75,4.80,-2.95
14-December-2010,155.90,160.00,153.00,154.65,155.844410150891632373,29160,571,4544423.00,14198,48.69,7.00,-1.25
13-December-2010,153.00,157.80,151.10,155.15,154.239436619718309859,39263,627,6055903.00,18026,45.91,6.70,2.15
10-December-2010,147.00,153.50,141.35,151.80,149.378396120534485314,47223,844,7054096.00,26106,55.28,12.15,4.80
9-December-2010,158.20,158.20,145.00,146.15,149.609625800098473658,40620,904,6077143.00,25684,63.23,13.20,-12.05
8-December-2010,158.20,161.90,156.50,157.80,159.490451140717022128,34978,527,5578657.00,25029,71.56,5.40,-0.40
7-December-2010,164.00,165.00,158.50,160.15,161.191247349142085984,25935,510,4180495.00,16648,64.19,6.50,-3.85
6-December-2010,168.45,170.80,163.05,164.00,166.687715037441813398,19764,483,3294416.00,11585,58.62,7.75,-4.45
3-December-2010,176.65,176.65,159.90,164.65,166.346473083713209138,37951,761,6313015.00,16606,43.76,16.75,-12.00
2-December-2010,175.80,178.85,173.90,175.60,176.463119091937661958,27399,548,4834913.00,13955,50.93,4.95,-0.20
1-December-2010,173.00,179.30,172.30,174.05,175.763160549625713766,49561,857,8710998.00,28544,57.59,7.00,1.05
30-November-2010,161.75,176.00,158.25,173.05,170.258939164824938932,85970,1582,14637161.00,29073,33.82,17.75,11.30
29-November-2010,166.90,166.90,158.00,161.75,162.697478022769851563,34695,596,5644789.00,14446,41.64,8.90,-5.15
26-November-2010,178.00,178.00,141.15,161.35,159.145725125528255740,115711,1775,18414911.00,54485,47.09,36.85,-16.65
25-November-2010,177.00,183.95,175.00,176.40,177.858872911880654584,35259,674,6271126.00,19264,54.64,8.95,-0.60
24-November-2010,182.90,182.90,178.05,179.30,180.760008472781190425,37768,616,6826944.00,15809,41.86,4.85,-3.60
23-November-2010,185.00,186.50,177.30,179.10,181.940602544663458369,45507,916,8279571.00,23102,50.77,9.20,-5.90
22-November-2010,186.50,188.80,183.85,186.20,185.349333277069794919,47396,709,8784817.00,22821,48.15,4.95,-0.30
19-November-2010,187.30,188.90,181.50,183.25,185.945965644945236781,50764,889,9439361.00,30883,60.84,7.40,-4.05
18-November-2010,192.00,194.50,181.20,187.90,187.975062623322464630,71459,1184,13432510.00,35770,50.06,13.30,-4.10
16-November-2010,201.90,201.90,190.00,191.45,195.070525462856793407,65409,1267,12759368.00,40677,62.19,11.90,-10.45
15-November-2010,205.80,205.80,197.00,199.95,200.538646495138474498,56978,1098,11426291.00,32460,56.97,8.80,-5.85
12-November-2010,214.00,215.75,202.20,203.85,207.899105292422787241,59349,1024,12338604.00,36178,60.96,13.55,-10.15
11-November-2010,217.00,225.00,210.40,213.10,218.605630279477811649,171892,2027,37576559.00,69825,40.62,14.60,-3.90
10-November-2010,214.00,217.00,213.05,215.35,215.183911737479455160,52933,763,11390330.00,28177,53.23,3.95,1.35
9-November-2010,215.00,219.90,212.55,213.45,215.733012366353213963,62104,1138,13397883.00,31650,50.96,7.35,-1.55
8-November-2010,214.40,222.00,211.00,214.35,216.879570078467755885,127186,1764,27584045.00,51983,40.87,11.00,-0.05
5-November-2010,215.00,215.00,212.00,213.05,213.084086072357531331,21145,349,4505663.00,17215,81.41,3.00,-1.95
4-November-2010,214.80,215.80,210.05,210.60,212.031633761813969698,48777,715,10342267.00,27644,56.67,5.75,-4.20
3-November-2010,204.75,217.90,200.00,213.80,212.813204604707086820,168002,2844,35753044.00,65285,38.86,17.90,9.05
2-November-2010,204.80,204.80,201.25,201.90,202.646572354669655569,33011,822,6689566.00,14100,42.71,3.55,-2.90
1-November-2010,205.00,205.50,201.25,203.60,203.558332814542737969,32126,466,6539515.00,18928,58.92,4.25,-1.40
29-October-2010,210.00,214.00,200.00,201.50,206.777723488059031759,100285,1584,20736704.00,54522,54.37,14.00,-8.50
28-October-2010,210.00,217.00,208.00,209.30,211.561486828146223936,100859,1292,21337880.00,46433,46.04,9.00,-0.70
27-October-2010,211.75,216.00,208.10,210.10,211.826426970578417815,41942,725,8884424.00,22257,53.07,7.90,-1.65
26-October-2010,212.80,215.50,210.00,210.55,212.273518227248292750,50227,862,10661862.00,25915,51.60,5.50,-2.25
25-October-2010,215.00,217.00,210.55,211.35,213.622183356381680631,49172,886,10504230.00,31397,63.85,6.45,-3.65
22-October-2010,214.05,218.00,210.00,213.80,213.395545430841647339,72869,1157,15549920.00,38117,52.31,8.00,-0.25
21-October-2010,213.10,218.95,212.50,213.30,214.693083504612590220,41842,731,8983188.00,24473,58.49,6.45,0.20
20-October-2010,214.10,220.00,210.00,213.00,215.941721216788602233,51940,927,11216013.00,22606,43.52,10.00,-1.10
19-October-2010,215.40,222.40,213.60,214.70,217.397624130469510158,68859,1237,14969783.00,34015,49.40,8.80,-0.70
18-October-2010,218.40,218.40,208.50,213.55,212.249375248298753059,78031,1332,16562031.00,37239,47.72,9.90,-4.85
15-October-2010,234.70,234.70,213.00,216.65,220.727780188705658369,285736,3569,63069873.00,123469,43.21,21.70,-18.05
14-October-2010,224.90,238.00,222.50,232.70,231.439253392271003734,486842,5974,112674349.00,154148,31.66,15.50,7.80
13-October-2010,220.65,232.80,215.00,223.05,225.653742426406087435,245095,3741,55306604.00,96204,39.25,17.80,2.40
12-October-2010,219.70,220.70,213.50,214.70,215.250223236432185732,40316,668,8678028.00,20252,50.23,7.20,-5.00
11-October-2010,215.40,222.00,215.40,218.85,219.001653642551046130,99175,1630,21719489.00,46300,46.69,6.60,3.45
8-October-2010,218.00,219.80,210.10,213.25,214.485187239134876390,68522,1196,14696954.00,39204,57.21,9.70,-4.75
7-October-2010,215.60,224.80,214.10,217.80,220.447831421592354536,177674,3016,39167848.00,66961,37.69,10.70,2.20
6-October-2010,214.70,219.80,212.05,215.10,216.383381211679458045,116615,1768,25233548.00,51346,44.03,7.75,0.40
5-October-2010,210.50,215.00,210.50,212.40,212.814570239886695582,56485,933,12020831.00,26513,46.94,4.50,1.90
4-October-2010,212.80,216.40,209.90,210.45,212.698738341687487391,64439,985,13706094.00,37296,57.88,6.50,-2.35
1-October-2010,209.00,216.70,207.00,210.40,212.644320740297027657,96826,1511,20589499.00,46328,47.85,9.70,1.40
30-September-2010,208.50,212.70,205.10,208.60,208.668003393228965836,64835,1029,13528990.00,30137,46.48,7.60,0.10
29-September-2010,215.30,217.70,208.20,208.95,211.312569150790403007,65979,1150,13942192.00,27404,41.53,9.50,-6.35
28-September-2010,209.70,221.85,208.00,213.15,215.796301625727232200,177213,3010,38241910.00,61567,34.74,13.85,3.45
