Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2009,66.85,66.85,56.05,61.70,61.260104123852582545,14598,167,894275.00,7307,50.05,10.80,-5.15
31-December-2008,49.00,57.50,46.10,55.85,53.884430986626293212,7926,111,427088.00,5770,72.80,11.40,6.85
30-December-2008,46.25,53.00,46.25,49.90,50.707265854682906341,2381,38,120734.00,1863,78.24,6.75,3.65
29-December-2008,47.50,52.00,47.50,51.70,51.127399073461283917,3022,42,154507.00,2827,93.55,4.50,4.20
26-December-2008,53.00,56.00,49.00,50.45,53.619821709491347666,7628,66,409012.00,6243,81.84,7.00,-2.55
24-December-2008,55.00,55.00,50.25,53.50,52.407249466950959488,1876,48,98316.00,1646,87.74,4.75,-1.50
23-December-2008,53.25,58.00,53.25,54.00,55.048213517003874300,9292,82,511508.00,7876,84.76,4.75,0.75
22-December-2008,48.00,51.75,47.50,51.15,50.392785167271261588,4962,48,250049.00,4747,95.67,4.25,3.15
19-December-2008,48.90,48.90,46.95,46.95,47.683823529411764705,136,5,6485.00,136,100.00,1.95,-1.95
18-December-2008,43.00,47.75,43.00,46.10,45.970266040688575899,639,12,29375.00,516,80.75,4.75,3.10
17-December-2008,46.50,49.50,46.00,46.60,46.733009708737864077,1648,20,77016.00,1425,86.47,3.50,0.10
16-December-2008,46.40,49.45,46.20,47.30,46.794650320423516299,3589,23,167946.00,3451,96.15,3.25,0.90
15-December-2008,45.10,47.00,44.40,46.25,45.939632545931758530,762,15,35006.00,616,80.84,2.60,1.15
12-December-2008,42.50,46.50,42.50,45.35,44.445283018867924528,1060,18,47112.00,1060,100.00,4.00,2.85
11-December-2008,42.65,44.85,42.65,44.85,44.433221099887766554,891,17,39590.00,790,88.66,2.20,2.20
10-December-2008,46.20,46.20,41.70,44.50,43.294701986754966887,906,21,39225.00,823,90.84,4.50,-1.70
8-December-2008,38.55,45.45,38.55,44.80,42.935742971887550200,249,7,10691.00,124,49.80,6.90,6.25
5-December-2008,40.50,44.10,39.50,42.50,43.029683698296836982,2055,28,88426.00,1404,68.32,4.60,2.00
4-December-2008,40.00,44.00,36.05,41.20,40.816163915765509391,1757,23,71714.00,474,26.98,7.95,1.20
3-December-2008,43.15,45.20,40.00,40.65,42.507309941520467836,1368,38,58150.00,1012,73.98,5.20,-2.50
2-December-2008,43.00,44.00,40.00,41.30,41.637037037037037037,2700,61,112420.00,2137,79.15,4.00,-1.70
1-December-2008,45.60,48.90,43.65,44.85,46.351639344262295081,3660,40,169647.00,2986,81.58,5.25,-0.75
28-November-2008,46.35,49.20,46.25,47.05,47.116766467065868263,334,8,15737.00,253,75.75,2.95,0.70
26-November-2008,45.20,49.10,45.15,48.50,47.380769230769230769,780,12,36957.00,730,93.59,3.95,3.30
25-November-2008,50.00,50.00,46.80,48.95,48.322381930184804928,487,15,23533.00,486,99.79,3.20,-1.05
24-November-2008,48.10,49.70,46.00,47.55,47.636363636363636363,638,30,30392.00,526,82.45,3.70,-0.55
21-November-2008,46.00,48.95,44.55,46.05,46.677884615384615384,1456,34,67963.00,1355,93.06,4.40,0.05
