Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2013,84.25,89.85,84.15,89.85,87.545982575024201355,6198,106,542610.00,6198,100.00,5.70,5.60
31-December-2012,86.55,88.60,84.35,85.60,85.828712871287128712,4040,59,346748.00,4040,100.00,4.25,-0.95
28-December-2012,88.30,89.00,86.25,88.40,87.504247104247104247,6475,66,566590.00,6475,100.00,2.75,0.10
27-December-2012,84.00,89.00,83.90,86.55,86.888765705838876570,5412,81,470242.00,5412,100.00,5.10,2.55
26-December-2012,87.00,87.00,82.35,85.60,85.163309044149164166,11665,137,993430.00,11665,100.00,4.65,-1.40
24-December-2012,88.00,88.00,85.65,86.05,86.377349501948895625,23090,207,1994453.00,23090,100.00,2.35,-1.95
21-December-2012,91.50,94.00,90.15,90.15,91.215981198589894242,12765,153,1164372.00,12765,100.00,3.85,-1.35
20-December-2012,98.00,100.00,94.45,94.85,96.017044378511457609,31682,320,3042012.00,19812,62.53,5.55,-3.15
19-December-2012,101.80,103.30,98.60,99.15,101.048169793909566287,16255,228,1642538.00,12029,74.00,4.70,-2.65
18-December-2012,101.00,104.60,99.50,101.25,102.000390102541239411,35888,388,3660590.00,16830,46.90,5.10,0.25
17-December-2012,102.70,107.25,101.00,102.00,104.792390284919633905,61842,644,6480571.00,22569,36.49,6.25,-0.70
14-December-2012,104.40,107.40,96.00,102.70,102.272886389112863576,457641,1410,46804266.00,368511,80.52,11.40,-1.70
13-December-2012,104.65,112.00,103.25,104.35,107.099345663350470721,149770,1192,16040269.00,89020,59.44,8.75,-0.30
12-December-2012,102.80,110.40,101.60,103.30,106.928836424957841483,133425,1457,14266980.00,50035,37.50,8.80,0.50
11-December-2012,109.50,114.50,100.65,103.10,103.626103191427293412,514190,1199,53283506.00,329832,64.15,13.85,-6.40
10-December-2012,100.00,115.60,100.00,108.85,110.238472919791048081,198706,3020,21905046.00,57727,29.05,15.60,8.85
7-December-2012,80.25,97.65,80.25,97.65,91.819052478706284099,76431,1218,7017822.00,43632,57.09,17.40,17.40
6-December-2012,80.80,83.60,79.05,81.40,81.674281848459616985,19216,186,1569453.00,4816,25.06,4.55,0.60
5-December-2012,81.00,81.00,79.20,79.75,79.966493002349576054,9789,107,782792.00,7935,81.06,1.80,-1.25
