Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2014,60.00,60.00,58.05,58.45,58.596275920440118493,4726,80,276926.00,4726,100.00,1.95,-1.55
31-December-2013,63.95,64.00,60.95,61.10,61.683441102052291256,3557,67,219408.00,3557,100.00,3.05,-2.85
30-December-2013,63.35,64.25,61.55,64.15,63.368835378559851817,4319,70,273690.00,4319,100.00,2.70,0.80
27-December-2013,61.05,63.75,59.85,61.45,61.709103840682788051,1406,35,86763.00,1406,100.00,3.90,0.40
26-December-2013,58.70,62.80,58.70,61.05,60.125222816399286987,4488,46,269842.00,4488,100.00,4.10,2.35
24-December-2013,62.45,65.20,60.90,61.30,62.925044091710758377,4536,84,285428.00,4536,100.00,4.30,-1.15
23-December-2013,65.70,65.80,63.00,64.10,64.913175164058556284,11886,287,771558.00,11886,100.00,2.80,-1.60
20-December-2013,57.55,63.05,57.55,62.70,62.538948151823368891,8062,146,504189.00,8062,100.00,5.50,5.15
19-December-2013,61.20,61.85,57.10,60.05,61.363274706867671691,4776,136,293071.00,4776,100.00,4.75,-1.15
18-December-2013,56.00,59.50,56.00,58.95,58.559104737070838765,4602,135,269489.00,4602,100.00,3.50,2.95
17-December-2013,55.00,56.70,54.00,56.70,55.568244575936883629,5070,60,281731.00,5070,100.00,2.70,1.70
16-December-2013,51.65,54.40,51.65,54.00,52.916877993801070724,3549,90,187802.00,3549,100.00,2.75,2.35
13-December-2013,58.00,58.00,54.25,54.25,54.386321049344159900,3202,62,174145.00,3202,100.00,3.75,-3.75
12-December-2013,58.00,60.75,55.55,57.10,59.580996232733361239,11945,237,711695.00,11945,100.00,5.20,-0.90
11-December-2013,56.05,58.45,55.30,58.45,57.771359807460890493,9141,153,528088.00,9141,100.00,3.15,2.40
10-December-2013,55.25,55.70,54.00,55.70,55.215938889522289362,8771,95,484299.00,8771,100.00,1.70,0.45
9-December-2013,51.70,53.05,51.65,53.05,52.831366512741576877,5847,75,308905.00,5847,100.00,1.40,1.35
6-December-2013,51.90,52.80,49.60,50.55,51.257085527965889139,3987,143,204362.00,3987,100.00,3.20,-1.35
5-December-2013,51.75,52.75,51.20,51.80,51.878094838438942509,4766,139,247251.00,4766,100.00,1.55,0.05
4-December-2013,52.80,54.45,52.80,53.60,53.577735124760076775,2084,77,111656.00,2084,100.00,1.65,0.80
3-December-2013,54.90,55.00,52.50,52.60,53.335618394744358754,3501,92,186728.00,3501,100.00,2.50,-2.30
2-December-2013,52.85,53.90,50.60,53.80,53.078885090717854325,3803,79,201859.00,3803,100.00,3.30,0.95
29-November-2013,50.00,52.25,50.00,51.90,51.095628415300546448,3294,70,168309.00,3294,100.00,2.25,1.90
28-November-2013,51.00,51.00,49.20,50.40,50.429319371727748691,382,9,19264.00,382,100.00,1.80,-0.60
27-November-2013,49.25,50.75,49.25,50.70,50.013628620102214650,1174,25,58716.00,1174,100.00,1.50,1.45
26-November-2013,51.10,51.10,50.60,51.00,51.020000000000000000,400,9,20408.00,400,100.00,0.50,-0.10
25-November-2013,50.15,51.80,50.10,51.75,51.205017301038062283,1156,44,59193.00,1156,100.00,1.70,1.60
22-November-2013,50.45,52.15,50.05,50.60,50.714831804281345565,1308,55,66335.00,1308,100.00,2.10,0.15
21-November-2013,52.45,52.60,51.05,52.10,51.965993623804463336,941,71,48900.00,649,68.97,1.55,-0.35
20-November-2013,53.90,54.50,50.15,51.35,53.141800993818931038,8251,217,438473.00,4410,53.45,4.35,-2.55
19-November-2013,56.00,57.00,54.00,54.65,55.399117971334068357,2721,127,150741.00,1660,61.01,3.00,-1.35
18-November-2013,55.00,59.40,55.00,57.70,57.572164240593243614,14564,401,838481.00,8340,57.26,4.40,2.70
14-November-2013,50.50,54.50,48.05,53.90,52.474699630314232902,8656,258,454221.00,5933,68.54,6.45,3.40
13-November-2013,51.50,52.00,47.00,48.20,48.268083704069863239,6069,214,292939.00,2821,46.48,5.00,-3.30
12-November-2013,52.00,54.80,49.10,49.40,51.436101789709172259,21456,595,1103613.00,12226,56.98,5.70,-2.60
11-November-2013,61.00,61.75,52.00,54.90,56.246061660384652556,20694,821,1163956.00,10131,48.96,9.75,-6.10
8-November-2013,59.40,65.90,58.15,61.30,62.156809662640566430,57624,1855,3581724.00,29358,50.95,7.75,1.90
7-November-2013,46.40,57.40,46.40,57.30,54.932820904496481791,61537,1615,3380401.00,28601,46.48,11.00,10.90
6-November-2013,45.10,50.00,45.10,47.85,46.786254199328107502,21432,435,1002723.00,12296,57.37,4.90,2.75
5-November-2013,47.90,48.50,45.30,46.50,46.513800057620282339,17355,219,807247.00,12200,70.30,3.20,-1.40
3-November-2013,44.25,47.75,44.25,46.20,46.324454828660436137,12840,231,594806.00,6151,47.90,3.50,1.95
1-November-2013,45.00,47.40,43.65,45.45,44.535838839941262848,21792,202,970525.00,9273,42.55,3.75,0.45
31-October-2013,45.00,49.00,44.25,45.55,45.710563380281690140,5680,140,259636.00,3338,58.77,4.75,0.55
30-October-2013,45.00,47.75,45.00,45.55,45.685247921157991992,3247,59,148340.00,2482,76.44,2.75,0.55
29-October-2013,45.05,46.90,45.00,46.00,45.792079207920792079,2525,46,115625.00,1175,46.53,1.90,0.95
28-October-2013,44.65,45.95,44.65,45.20,45.308150619637750238,4196,60,190113.00,2195,52.31,1.30,0.55
25-October-2013,47.25,48.90,45.40,45.65,46.000861883214824391,4641,61,213490.00,4125,88.88,3.50,-1.60
24-October-2013,46.00,49.50,46.00,48.20,48.087796312554872695,6834,120,328632.00,4922,72.02,3.50,2.20
23-October-2013,45.20,46.60,45.10,45.85,45.774413323239969719,5284,93,241872.00,2624,49.66,1.50,0.65
22-October-2013,45.85,45.95,44.65,45.30,45.386404293381037567,5590,176,253710.00,1489,26.64,1.30,-0.55
21-October-2013,44.60,46.40,44.60,45.15,45.577772139051002283,3941,76,179622.00,2400,60.90,1.80,0.55
18-October-2013,44.95,45.00,44.00,44.55,44.273804168541010646,6669,80,295262.00,4819,72.26,1.00,-0.40
17-October-2013,44.10,45.00,43.95,44.30,44.698068770607630711,2123,36,94894.00,2084,98.16,1.05,0.20
15-October-2013,46.95,47.00,44.65,44.90,45.861699346405228758,3825,59,175421.00,2665,69.67,2.35,-2.05
14-October-2013,47.00,48.00,45.85,46.15,46.513978494623655913,930,57,43258.00,660,70.97,2.15,-0.85
11-October-2013,46.00,47.90,46.00,47.45,47.305926321409503470,1873,44,88604.00,1188,63.43,1.90,1.45
10-October-2013,44.55,47.75,44.55,46.60,45.915167785234899328,3725,99,171034.00,2500,67.11,3.20,2.05
9-October-2013,46.50,46.50,44.00,45.15,45.192233009708737864,5150,101,232740.00,3626,70.41,2.50,-1.35
8-October-2013,43.50,45.90,43.50,44.80,44.440000000000000000,4900,108,217756.00,3915,79.90,2.40,1.30
7-October-2013,44.00,45.90,42.95,43.35,43.730500197967533324,7577,212,331346.00,4275,56.42,2.95,-0.65
4-October-2013,44.00,46.00,43.00,44.35,44.212945335871634484,3677,74,162571.00,2572,69.95,3.00,0.35
3-October-2013,46.90,46.90,43.50,44.55,44.687505464719769170,11437,323,511091.00,6518,56.99,3.40,-2.35
1-October-2013,43.75,44.90,43.75,44.65,44.273461777501553760,1609,70,71236.00,767,47.67,1.15,0.90
30-September-2013,47.50,47.50,44.00,44.40,45.244415243101182654,2283,111,103293.00,1729,75.73,3.50,-3.10
27-September-2013,46.75,46.75,44.25,45.85,45.569519022049583000,8753,185,398870.00,7321,83.64,2.50,-0.90
26-September-2013,45.90,47.00,45.90,46.25,46.165057915057915057,1036,27,47827.00,968,93.44,1.10,0.35
25-September-2013,46.80,46.80,44.25,45.70,45.749903213317847464,2583,92,118172.00,1436,55.59,2.55,-1.10
24-September-2013,48.50,48.50,45.00,45.45,46.214660667416572928,5334,160,246509.00,2070,38.81,3.50,-3.05
23-September-2013,47.50,48.55,45.00,45.75,46.795271629778672032,5964,124,279087.00,2100,35.21,3.55,-1.75
20-September-2013,47.80,48.90,45.55,48.30,47.573232323232323232,1980,93,94195.00,1496,75.56,3.35,0.50
