Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2015,74.00,77.00,74.00,76.45,75.845334062030332012,7319,295,555112.00,3526,48.18,3.00,2.45
31-December-2014,74.50,77.75,74.50,75.20,76.048134290625948023,9889,122,752040.00,7496,75.80,3.25,0.70
30-December-2014,73.10,77.55,73.10,76.00,76.080398630471998043,16356,441,1244371.00,9316,56.96,4.45,2.90
29-December-2014,74.00,76.50,74.00,74.20,74.912490833537032510,8182,150,612934.00,3139,38.36,2.50,0.20
26-December-2014,74.10,77.20,73.00,73.60,74.043462513582035494,16566,654,1226604.00,10845,65.47,4.20,-0.50
24-December-2014,75.90,76.90,72.00,74.95,75.276838349363946633,12892,356,970469.00,5492,42.60,4.90,-0.95
23-December-2014,76.00,76.90,73.10,73.40,74.691431401684001981,2019,133,150802.00,896,44.38,3.80,-2.60
22-December-2014,77.35,77.35,72.40,74.00,74.028265524625267665,7005,209,518568.00,4448,63.50,4.95,-3.35
19-December-2014,78.90,78.90,74.35,75.35,75.881348875936719400,2402,197,182267.00,1530,63.70,4.55,-3.55
18-December-2014,79.20,79.20,72.70,74.10,74.677660152008686210,7368,238,550225.00,5814,78.91,6.50,-5.10
17-December-2014,75.70,75.70,72.50,72.95,73.261037705446342249,12412,249,909316.00,9707,78.21,3.20,-2.75
16-December-2014,79.00,79.00,75.95,76.00,77.017213771016813450,4996,173,384778.00,4301,86.09,3.05,-3.00
15-December-2014,80.15,81.70,79.15,79.70,80.131187515240185320,4101,114,328618.00,3083,75.18,2.55,-0.45
12-December-2014,81.15,82.05,79.80,80.00,80.696557586060348491,4706,128,379758.00,3826,81.30,2.25,-1.15
11-December-2014,80.85,82.80,80.10,82.05,81.720107238605898123,1865,80,152408.00,1324,70.99,2.70,1.20
10-December-2014,84.00,87.00,82.00,82.20,84.145461309523809523,2688,91,226183.00,2427,90.29,5.00,-1.80
9-December-2014,84.50,86.00,80.40,82.15,83.163727701455812999,9754,283,811179.00,7549,77.39,5.60,-2.35
8-December-2014,83.05,91.00,80.60,85.55,87.105774205101675355,25129,743,2188881.00,12855,51.16,10.40,2.50
5-December-2014,78.10,82.50,78.10,81.45,81.318417462482946793,10995,182,894096.00,7395,67.26,4.40,3.35
4-December-2014,84.00,84.00,81.00,81.40,82.187513739283358979,9098,153,747742.00,7995,87.88,3.00,-2.60
3-December-2014,82.80,83.75,82.00,82.20,82.414122137404580152,5764,98,475035.00,5410,93.86,1.75,-0.60
2-December-2014,80.00,83.30,80.00,82.80,81.851592356687898089,4710,103,385521.00,3561,75.61,3.30,2.80
1-December-2014,83.05,85.00,71.00,82.40,81.884966524650030432,6572,173,538148.00,4585,69.77,14.00,-0.65
28-November-2014,82.20,83.00,81.50,82.75,82.016703977957637334,5807,165,476271.00,4407,75.89,1.50,0.55
27-November-2014,80.15,82.90,80.15,82.50,82.129113924050632911,8295,174,681261.00,4460,53.77,2.75,2.35
26-November-2014,86.00,86.00,80.60,81.25,82.796271439224459358,6705,171,555149.00,5309,79.18,5.40,-4.75
25-November-2014,83.60,85.00,80.00,83.15,82.276026743075453677,6282,167,516858.00,4862,77.40,5.00,-0.45
24-November-2014,89.00,89.00,84.00,84.35,85.704532577903682719,3530,119,302537.00,1961,55.55,5.00,-4.65
