Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2008,77.20,77.20,69.90,70.35,72.482237975089110497,74907,432,5429427.00,74907,100.00,7.30,-6.85
31-December-2007,73.50,73.55,68.50,73.55,72.880915473693808698,10967,70,799285.00,10967,100.00,5.05,0.05
28-December-2007,68.70,70.55,67.55,70.05,70.182692307692307692,20176,148,1416006.00,20176,100.00,3.00,1.35
27-December-2007,66.85,67.20,64.50,67.20,66.739928909952606635,11816,95,788599.00,11816,100.00,2.70,0.35
26-December-2007,64.80,65.75,62.30,64.00,64.140945300053106744,9415,73,603887.00,9415,100.00,3.45,-0.80
24-December-2007,68.50,68.50,62.25,63.65,64.144782269740505624,8979,70,575956.00,8979,100.00,6.25,-4.85
20-December-2007,66.00,68.00,63.75,65.50,65.070230345518277416,7988,77,519781.00,7988,100.00,4.25,-0.50
19-December-2007,69.00,69.45,67.00,67.05,68.072402044293015332,10566,74,719253.00,10566,100.00,2.45,-1.95
18-December-2007,64.50,70.85,64.30,66.20,67.296603205040405423,14602,95,982665.00,14602,100.00,6.55,1.70
17-December-2007,71.00,71.95,66.15,67.65,69.617108841037701183,13607,130,947280.00,13607,100.00,5.80,-3.35
14-December-2007,71.80,71.80,66.65,68.55,68.522666891578459073,23713,147,1624878.00,23713,100.00,5.15,-3.25
13-December-2007,74.30,74.90,69.85,69.85,71.267367668827522842,19591,127,1396199.00,19591,100.00,5.05,-4.45
12-December-2007,74.00,75.00,72.05,73.50,74.025808835171795007,37894,242,2805134.00,37894,100.00,2.95,-0.50
11-December-2007,72.00,72.50,70.00,72.00,71.258478173450694785,22381,184,1594836.00,22381,100.00,2.50,0.00
10-December-2007,67.50,69.70,66.60,69.20,67.954882541505191139,20901,136,1420325.00,20901,100.00,3.10,1.70
7-December-2007,65.80,69.90,65.70,66.40,66.810711249645792009,24703,178,1650425.00,24703,100.00,4.20,0.60
6-December-2007,75.95,75.95,69.15,69.15,71.187715295486064510,22353,153,1591259.00,22353,100.00,6.80,-6.80
5-December-2007,72.10,75.90,71.00,72.75,72.937898602074341300,15523,136,1132215.00,15523,100.00,4.90,0.65
4-December-2007,76.00,76.00,73.00,73.65,74.658897100625355315,17590,130,1313250.00,17590,100.00,3.00,-2.35
3-December-2007,76.90,77.05,73.50,75.55,75.955888337267030194,36861,201,2799810.00,36861,100.00,3.55,-1.35
30-November-2007,76.15,76.15,70.35,73.50,74.377229395093183705,34931,218,2598071.00,34931,100.00,5.80,-2.65
29-November-2007,68.00,73.10,66.20,72.85,71.063144524752774669,33067,176,2349845.00,33067,100.00,6.90,4.85
28-November-2007,74.90,75.80,69.65,69.65,72.607501210988858902,28902,177,2098502.00,28902,100.00,6.15,-5.25
27-November-2007,76.20,76.20,72.00,73.30,74.602470015437596484,42105,228,3141137.00,42105,100.00,4.20,-2.90
26-November-2007,72.60,72.60,72.60,72.60,72.599927588703837798,8286,43,601563.00,8286,100.00,0.00,0.00
23-November-2007,68.00,69.15,63.65,69.15,68.214927060460464812,45997,138,3137682.00,45997,100.00,5.50,1.15
22-November-2007,72.50,72.50,65.90,65.90,66.624383848977451494,19070,139,1270527.00,19070,100.00,6.60,-6.60
21-November-2007,76.30,76.35,69.15,69.35,72.976081418550077176,79687,412,5815245.00,79687,100.00,7.20,-6.95
20-November-2007,72.75,72.75,72.75,72.75,72.749985132322331251,33630,144,2446582.00,33630,100.00,0.00,0.00
19-November-2007,68.00,69.30,63.15,69.30,68.190615984208128764,39514,165,2694484.00,39514,100.00,6.15,1.30
16-November-2007,67.00,69.10,63.50,66.00,67.129495625877524570,27777,211,1864656.00,27777,100.00,5.60,-1.00
15-November-2007,71.95,71.95,65.20,66.00,67.667373301105519673,50474,280,3415443.00,35655,70.64,6.75,-5.95
14-November-2007,70.40,70.40,64.50,68.55,68.014931905796003568,178209,696,12120873.00,119682,67.16,5.90,-1.85
13-November-2007,64.25,67.05,64.25,67.05,66.775123625260085929,37007,107,2471147.00,35282,95.34,2.80,2.80
12-November-2007,60.00,64.25,60.00,63.90,62.895225843339050886,41976,255,2640090.00,30446,72.53,4.25,3.90
9-November-2007,62.90,63.50,59.50,61.25,61.298074117303764225,20562,147,1260411.00,17047,82.91,4.00,-1.65
8-November-2007,62.30,65.00,60.65,60.90,61.983762625042284830,41386,250,2565260.00,27252,65.85,4.35,-1.40
7-November-2007,70.50,70.50,63.80,63.80,66.454403637550941433,82693,417,5495314.00,54154,65.49,6.70,-6.70
6-November-2007,68.80,68.80,65.00,67.15,68.215583805808632228,310951,786,21211704.00,166396,53.51,3.80,-1.65
5-November-2007,65.55,65.55,65.55,65.55,65.549993615119397267,7831,25,513322.00,7831,100.00,0.00,0.00
2-November-2007,60.00,62.45,56.80,62.45,61.676081399782519665,70811,271,4367345.00,55187,77.94,5.65,2.45
1-November-2007,56.95,59.50,56.95,59.50,59.222273867041771145,163510,459,9683434.00,105614,64.59,2.55,2.55
31-October-2007,56.75,56.75,55.50,56.70,56.700736923415219977,177359,395,10056386.00,121183,68.33,1.25,-0.05
30-October-2007,54.05,54.05,54.05,54.05,54.050000000000000000,22980,63,1242069.00,22980,100.00,0.00,0.00
29-October-2007,51.00,51.50,50.10,51.50,51.375350303596450256,17128,51,879957.00,17102,99.85,1.40,0.50
26-October-2007,52.60,52.60,48.00,49.05,49.429216264424301991,27471,91,1357870.00,25220,91.81,4.60,-3.55
25-October-2007,51.40,52.70,49.45,50.10,50.704282921627865647,11254,65,570626.00,11072,98.38,3.25,-1.30
24-October-2007,55.20,55.20,50.00,50.50,52.423007880244622265,32867,151,1722987.00,25434,77.38,5.20,-4.70
23-October-2007,52.50,52.60,51.50,52.60,52.502031340684852002,6892,35,361844.00,6891,99.99,1.10,0.10
22-October-2007,49.50,50.65,48.20,50.10,50.261284722222222222,3456,45,173703.00,3126,90.45,2.45,0.60
19-October-2007,52.00,52.00,48.25,48.25,48.573121263877028181,9368,79,455033.00,8862,94.60,3.75,-3.75
18-October-2007,54.75,54.75,50.00,50.75,52.970785219399538106,17320,102,917454.00,14659,84.64,4.75,-4.00
17-October-2007,53.00,53.00,49.90,52.45,51.803340213923813098,5329,37,276060.00,5329,100.00,3.10,-0.55
16-October-2007,53.55,53.55,51.00,52.40,53.121954076850984067,17072,114,906898.00,13814,80.92,2.55,-1.15
15-October-2007,48.10,51.00,48.00,51.00,50.595120638622297963,11149,76,564085.00,10457,93.79,3.00,2.90
